"","SL_C21h0","SL_GAT21h2","SL_GAT21h4","SL_T21h2"
"Gene162",6.97385659133333,7.17771834433333,7.04249801,7.071208556
"Gene163",6.94391457533333,6.464319791,6.66054668233333,6.617997808
"Gene164",6.854623601,7.788548271,7.48902111333333,7.694076944
"Gene165",6.80297684433333,6.627171349,6.74544920433333,6.749153571
"Gene166",6.967872552,6.24361646833333,6.11412418566667,6.63933419966667
"Gene167",6.99796502266667,8.99127833433333,7.23737327966667,8.93893470733333
"Gene168",6.87449726233333,7.005429319,6.90356388033333,6.86721914166667
"Gene169",6.88521354033333,7.95564813466667,7.38716883766667,7.73411688533333
"Gene17",4.13789632666667,4.082807518,4.06663026333333,4.03891376633333
"Gene170",7.072160676,7.22656345633333,6.93329731433333,7.049703235
"Gene171",7.01332977633333,7.314058322,6.979749233,6.99092206233333
"Gene172",7.09920130433333,6.901579885,6.99591455066667,6.961464398
"Gene173",7.16229596566667,7.61398378633333,7.32574365933333,7.24855665166667
"Gene174",7.21898335566667,7.5182947,7.16616352066667,7.33471385266667
"Gene175",7.046107271,6.99888904333333,7.08107558633333,6.944862491
"Gene176",7.18169825233333,7.51972111433333,7.40385589766667,7.24186212133333
"Gene177",7.19821963166667,7.41418212933333,7.52231095433333,7.27745040066667
"Gene178",7.170206963,7.29961156366667,7.107719534,7.17016175033333
"Gene179",7.18438871133333,7.44085292466667,7.30659253766667,7.21029587266667
"Gene18",4.28111065533333,4.32819665066667,4.30082771833333,4.28147690333333
"Gene180",7.110273807,6.83744564233333,7.258620242,6.791008818
"Gene181",7.28271223,7.181139371,7.37801180433333,7.234291442
"Gene182",7.17054594266667,7.31601940366667,7.172859828,7.11694775
"Gene183",7.1570038,7.127913786,7.25757746933333,7.59631945333333
"Gene184",7.112789587,7.15781580166667,6.994036579,7.15603795933333
"Gene185",7.27576455466667,7.37863956366667,7.279834897,7.449497804
"Gene186",7.173641547,6.84879974766667,7.21134764433333,6.84710655366667
"Gene187",7.39541825766667,7.74828845433333,8.08766353766667,7.40265920233333
"Gene188",7.275698645,7.301998808,7.46741766933333,7.49837555766667
"Gene189",7.200560588,7.250461566,7.185712695,7.320039553
"Gene19",4.33495316533333,4.31006583433333,4.27249736533333,4.269485061
"Gene190",7.373810634,7.51834612533333,7.44445287033333,7.45087124566667
"Gene191",7.35952972433333,7.83182066866667,7.91138563633333,7.42228454666667
"Gene192",7.38896507366667,7.55825836266667,7.17110840166667,7.70806509533333
"Gene193",7.47328030333333,8.535781617,7.32531356866667,8.39506240466667
"Gene194",7.34400836966667,7.32961763266667,7.36699577133333,7.43998147266667
"Gene195",7.50182841433333,8.55707606666667,7.35378130166667,8.42445198766667
"Gene196",7.28228386866667,7.51182738066667,7.40075528466667,7.488807862
"Gene197",7.48124906866667,6.93192652866667,7.15877506033333,7.12824584233333
"Gene198",7.428531692,7.70032173766667,7.59883575866667,7.74513599366667
"Gene199",7.54768877766667,7.669674402,7.62543706633333,7.56820264266667
"Gene2",3.39268838766667,3.42429133966667,3.392105799,3.38229529866667
"Gene20",4.402026825,4.45363013033333,4.38331728833333,4.434880326
"Gene200",7.37572051933333,7.29297134733333,7.384248028,7.760825474
"Gene201",7.50096701233333,8.255677555,7.500022662,7.701970463
"Gene202",7.532182755,7.799181565,7.85349826066667,7.48076660466667
"Gene203",7.310015575,7.86976393633333,7.85326496766667,7.861242921
"Gene204",7.46464891933333,7.13651198766667,7.19558283133333,7.20701595666667
"Gene205",7.51272373433333,7.40013204766667,7.32263330633333,7.550615695
"Gene206",7.41040906833333,8.74371927533333,7.76495867266667,8.41097337966667
"Gene207",7.50526910733333,7.466415653,7.24415969933333,7.62516571033333
"Gene208",7.56264141033333,8.57151896166667,7.51573146866667,8.48283032533333
"Gene209",7.34075592866667,7.90118435033333,7.887388921,7.905241252
"Gene21",4.50636816866667,4.55946164033333,4.52029518366667,4.53668392866667
"Gene210",7.491707227,7.37835040433333,6.90962455366667,7.56200123666667
"Gene211",7.412640638,7.79572869133333,6.973118193,7.949026206
"Gene212",7.417239132,7.51394242033333,7.51407710966667,7.49591901333333
"Gene213",7.58782012766667,7.29703574433333,6.860784511,7.58765509366667
"Gene214",7.53663701,6.762573037,7.255033694,6.82869559833333
"Gene215",7.65207023166667,7.033404865,6.85542676133333,7.28348889366667
"Gene216",7.55483630033333,7.7045571,6.83514155166667,7.79034358333333
"Gene217",7.55033477,7.55392683466667,7.55826870166667,7.50681423833333
"Gene218",7.606807912,7.99749079433333,7.473536657,7.774704744
"Gene219",7.661489297,7.92757518866667,7.81020586466667,7.88050176533333
"Gene22",4.46521461833333,4.484630029,4.49958239566667,4.45302250933333
"Gene220",7.506330615,7.588541062,7.376712191,7.393090909
"Gene221",7.66081154133333,7.73514679266667,7.84096985866667,7.56445387566667
"Gene222",7.703063885,7.69907819233333,7.706983683,7.70782004566667
"Gene223",7.51291527766667,7.797366356,7.63952567033333,7.71795592433333
"Gene224",7.60162684933333,7.80482244633333,7.617482274,7.89231266066667
"Gene225",7.696185941,7.73337416533333,7.61008667833333,7.70264653133333
"Gene226",7.759075664,8.20171462033333,7.84941789233333,7.894890346
"Gene227",7.549720276,7.700038025,7.62451157966667,7.71881277433333
"Gene228",7.57782200533333,7.43329442466667,7.63257635066667,7.41193468933333
"Gene229",7.66627085866667,7.94621247866667,7.345781397,7.63795034866667
"Gene23",4.505726006,4.526556633,4.46316847,4.50294996666667
"Gene230",7.62306486866667,8.08214738666667,8.52785316533333,7.65832970333333
"Gene231",7.75766827733333,7.87806925033333,7.690031886,7.78317775366667
"Gene232",7.72034054833333,7.802737188,7.753398265,7.69393918433333
"Gene233",7.670166489,7.55381499933333,7.792182264,7.51810219166667
"Gene234",7.790132431,7.96468455166667,7.544815199,8.16392437833333
"Gene235",7.67934835233333,7.874747769,7.88558641066667,7.65042215566667
"Gene236",7.69152287066667,8.07034318,8.205104817,7.77313799
"Gene237",7.71786101866667,7.864880974,7.59040642733333,7.74885692166667
"Gene238",7.71613084666667,7.81604289266667,7.70562968433333,7.679931074
"Gene239",7.70179399833333,7.768929745,7.57449749666667,7.62110878433333
"Gene24",4.60799759233333,4.77213939433333,4.55453911,4.556666739
"Gene240",7.8200003,8.06662404333333,7.95255413866667,7.821495082
"Gene241",7.70905155366667,7.44941927466667,7.15554849766667,7.63841565033333
"Gene242",7.840926625,8.10593150033333,7.67383434966667,7.937811147
"Gene243",7.96276422366667,8.193135836,8.02984443966667,8.015017883
"Gene244",7.78631975966667,7.703079212,7.86508497,7.77909025533333
"Gene245",7.807417424,8.17137102233333,7.99462184966667,8.06633908966667
"Gene246",7.82202366166667,8.67206730733333,8.28291919033333,8.577159406
