rootsample,length,Genotype,Treatment
960,5.29,Col-0,GA
961,5.41,Col-0,GA
962,5.63,Col-0,GA
963,5.86,Col-0,GA
964,3.95,Col-0,GA
965,4.21,Col-0,GA
966,5.44,Col-0,GA
967,5.69,Col-0,GA
968,5.77,Col-0,GA
969,4.65,Col-0,GA
970,5.68,Col-0,GA
971,3.88,Col-0,GA
972,3.71,Col-0,GA
973,5.1,Col-0,GA
974,4.81,Col-0,GA
975,5.48,Col-0,GA
976,7.14,Col-0,GA
977,7.17,Col-0,GA
978,6.81,Col-0,GA
979,4.52,Col-0,GA
980,5.64,Col-0,GA
981,4.87,Col-0,GA
982,5.35,Col-0,GA
983,4.6,Col-0,GA
984,5.9,Col-0,GA
985,6.06,Col-0,GA
986,5,Col-0,GA
987,6.81,Col-0,GA
988,5.11,Col-0,GA
989,4.49,Col-0,GA
990,5.23,Col-0,GA
991,3.27,Col-0,GA
992,3.87,Col-0,GA
993,5.74,Col-0,GA
994,5.94,Col-0,GA
995,4.91,Col-0,GA
996,4.81,Col-0,GA
997,4.25,Col-0,GA
998,6.52,Col-0,GA
999,5.84,Col-0,GA
1000,5.29,Col-0,GA
1001,1.13,Col-0,PAC
1002,1.42,Col-0,PAC
1003,1.05,Col-0,PAC
1004,1.21,Col-0,PAC
1005,0.16,Col-0,PAC
1006,1.01,Col-0,PAC
1007,1.38,Col-0,PAC
1008,0.25,Col-0,PAC
1009,0.58,Col-0,PAC
1010,1.09,Col-0,PAC
1011,1.3,Col-0,PAC
1012,1.05,Col-0,PAC
1013,1.1,Col-0,PAC
1014,1.12,Col-0,PAC
1015,0.85,Col-0,PAC
1016,0.82,Col-0,PAC
1017,0.83,Col-0,PAC
1018,1.53,Col-0,PAC
1019,1.11,Col-0,PAC
1020,1.21,Col-0,PAC
1021,1.05,Col-0,PAC
1022,0.9,Col-0,PAC
1023,0.93,Col-0,PAC
1024,0.89,Col-0,PAC
1025,0.51,Col-0,PAC
1026,1.13,Col-0,PAC
1027,0.89,Col-0,PAC
1028,1,Col-0,PAC
1029,1.19,Col-0,PAC
1030,0.9,Col-0,PAC
1031,1.54,Col-0,PAC
1032,1.13,Col-0,PAC
1033,1.13,Col-0,PAC
1034,0.35,Col-0,PAC
1035,1,Col-0,PAC
1036,0.6,Col-0,PAC
1037,1.17,Col-0,PAC
1038,1.48,Col-0,PAC
1039,0.8,Col-0,PAC
1040,1.04,Col-0,PAC
1041,1.26,Col-0,PAC
1042,1.07,Col-0,PAC
1043,0.61,Col-0,PAC
1044,0.7,Col-0,PAC
1045,1.34,Col-0,PAC
1046,1.01,Col-0,PAC
1047,0.33,Col-0,PAC
1048,1.8,Col-0,PAC
1049,0.52,Col-0,PAC
1050,1.36,Col-0,PAC
1051,1.04,Col-0,PAC
1052,0.53,Col-0,PAC
1053,0.91,Col-0,PAC
1054,1.21,Col-0,PAC
1055,1.17,Col-0,PAC
1056,0.87,Col-0,PAC
1057,1.54,Col-0,PAC
1058,1.64,Col-0,PAC
1059,0.95,Col-0,PAC
1060,1.03,Col-0,PAC
1061,0.27,Col-0,PAC
1062,0.52,Col-0,PAC
1063,0.87,Col-0,PAC
1064,1.2,Col-0,PAC
1065,0.99,Col-0,PAC
1066,1.08,Col-0,PAC
1067,0.48,Col-0,PAC
1068,0.86,Col-0,PAC
1069,0.81,Col-0,PAC
1070,0.45,Col-0,PAC
1071,0.57,Col-0,PAC
1072,1.24,Col-0,PAC
1073,1.3,Col-0,PAC
1074,1.1,Col-0,PAC
1075,0.59,Col-0,PAC
1076,0.98,Col-0,PAC
1077,1.21,Col-0,PAC
1078,0.62,Col-0,PAC
1079,0.13,Col-0,PAC
1080,1.09,Col-0,PAC
1081,0.65,Col-0,PAC
1082,1.03,Col-0,PAC
1083,0.9,Col-0,PAC
1084,0.69,Col-0,PAC
1085,0.76,Col-0,PAC
1086,1.02,Col-0,PAC
1087,0.97,Col-0,PAC
1088,0.88,Col-0,PAC
1089,1.16,Col-0,PAC
1090,1.38,Col-0,PAC
1091,1.38,Col-0,PAC
1092,0.67,Col-0,PAC
1093,1.39,Col-0,PAC
1094,0.9,Col-0,PAC
1095,1.23,Col-0,PAC
1096,0.7,Col-0,PAC
1097,0.62,Col-0,PAC
1098,1.57,Col-0,PAC
1099,1,Col-0,PAC
1100,0.86,Col-0,PAC
1101,1.02,Col-0,PAC
1102,0.32,Col-0,PAC
1103,0.62,Col-0,PAC
1104,1.14,Col-0,PAC
1105,0.85,Col-0,PAC
1106,0.9,Col-0,PAC
1107,0.99,Col-0,PAC
1108,1.13,Col-0,PAC
1109,0.66,Col-0,PAC
1110,0.86,Col-0,PAC
1111,1.04,Col-0,PAC
1112,0.93,Col-0,PAC
1113,1.11,Col-0,PAC
1114,0.93,Col-0,PAC
1115,0.78,Col-0,PAC
1116,1.47,Col-0,PAC
1117,1.73,Col-0,PAC
1118,1.25,Col-0,PAC
1119,0.52,Col-0,PAC
1120,1.37,Col-0,PAC
1121,0.77,Col-0,PAC
1122,0.94,Col-0,PAC
1123,1.14,Col-0,PAC
1124,1.21,Col-0,PAC
1125,0.76,Col-0,PAC
1126,0.67,Col-0,PAC
1127,1.09,Col-0,PAC
1128,1.31,Col-0,PAC
1129,1.17,Col-0,PAC
1130,1.38,Col-0,PAC
1131,1.08,Col-0,PAC
1132,0.58,Col-0,PAC
1133,1.1,Col-0,PAC
1134,0.95,Col-0,PAC
1135,0.94,Col-0,PAC
1136,0.78,Col-0,PAC
1137,0.63,Col-0,PAC
1138,0.49,Col-0,PAC
1139,1.21,Col-0,PAC
1140,0.63,Col-0,PAC
1141,0.38,Col-0,PAC
1142,0.63,Col-0,PAC
1143,0.93,Col-0,PAC
1144,0.68,Col-0,PAC
1145,0.76,Col-0,PAC
1146,1.04,Col-0,PAC
1147,0.84,Col-0,PAC
1148,1.03,Col-0,PAC
1149,1.18,Col-0,PAC
1150,0.88,Col-0,PAC
1151,0.84,Col-0,PAC
1152,0.95,Col-0,PAC
1153,1.18,Col-0,PAC
1154,1.11,Col-0,PAC
1155,1.07,Col-0,PAC
1156,0.6,Col-0,PAC
1157,0.88,Col-0,PAC
1158,1.28,Col-0,PAC
1159,1.33,Col-0,PAC
1160,1.79,Col-0,PAC
1161,0.95,Col-0,PAC
1162,1.21,Col-0,PAC
1163,0.98,Col-0,PAC
1164,0.88,Col-0,PAC
1165,0.37,Col-0,PAC
1166,1.18,Col-0,PAC
1167,1.13,Col-0,PAC
1168,0.52,Col-0,PAC
1169,1.03,Col-0,PAC
1170,0.86,Col-0,PAC
1171,1.03,Col-0,PAC
1172,0.74,Col-0,PAC
1173,0.71,Col-0,PAC
1174,0.48,Col-0,PAC
1175,1.71,Col-0,PAC
1176,1.18,Col-0,PAC
1177,1.27,Col-0,PAC
1178,0.84,Col-0,PAC
1179,0.95,Col-0,PAC
1180,0.9,Col-0,PAC
1181,1.44,Col-0,PAC
1182,1.35,Col-0,PAC
1183,0.57,Col-0,PAC
1184,0.64,Col-0,PAC
1185,1,Col-0,PAC
1186,1.19,Col-0,PAC
1187,0.85,Col-0,PAC
1188,0.86,Col-0,PAC
1189,1.18,Col-0,PAC
1190,1.02,Col-0,PAC
1191,0.86,Col-0,PAC
1192,0.65,Col-0,PAC
1193,1.14,Col-0,PAC
1194,1.46,Col-0,PAC
1195,0.89,Col-0,PAC
1196,1.13,Col-0,PAC
1197,0.71,Col-0,PAC
1198,0.76,Col-0,PAC
1199,1.23,Col-0,PAC
1200,1.38,Col-0,PAC
1201,0.81,Col-0,PAC
1202,1.78,Col-0,PAC
1203,1.08,Col-0,PAC
1204,0.99,Col-0,PAC
1205,1.26,Col-0,PAC
1206,0.65,Col-0,PAC
1207,1.22,Col-0,PAC
1208,1.13,Col-0,PAC
1209,1.27,Col-0,PAC
1210,0.58,Col-0,PAC
1211,0.57,Col-0,PAC
1212,0.96,Col-0,PAC
1213,1.06,Col-0,PAC
1214,0.91,Col-0,PAC
1215,1.01,Col-0,PAC
1216,1.21,Col-0,PAC
1217,1.42,Col-0,PAC
1218,0.95,Col-0,PAC
1219,1.18,Col-0,PAC
1220,1.08,Col-0,PAC
1221,1.04,Col-0,PAC
1222,0.92,Col-0,PAC
1223,1.04,Col-0,PAC
1224,1.03,Col-0,PAC
1225,0.69,Col-0,PAC
1226,0.67,Col-0,PAC
1227,1.57,Col-0,PAC
1228,1.51,Col-0,PAC
1229,1.05,Col-0,PAC
1230,1.45,Col-0,PAC
1231,1.06,Col-0,PAC
1232,0.57,Col-0,PAC
1233,0.79,Col-0,PAC
1234,1.74,Col-0,PAC
1235,1.04,Col-0,PAC
1236,0.99,Col-0,PAC
1237,0.71,Col-0,PAC
1238,0.79,Col-0,PAC
1239,1.12,Col-0,PAC
1240,0.98,Col-0,PAC
1241,0.98,Col-0,PAC
1242,1.45,Col-0,PAC
1243,0.9,Col-0,PAC
1244,1.06,Col-0,PAC
1245,1.25,Col-0,PAC
1246,1.38,Col-0,PAC
1247,1.22,Col-0,PAC
1248,1.24,Col-0,PAC
1249,0.29,Col-0,PAC
1250,0.97,Col-0,PAC
1251,1.17,Col-0,PAC
1252,1.55,Col-0,PAC
1253,0.56,Col-0,PAC
1254,0.97,Col-0,PAC
1255,1.05,Col-0,PAC
1256,1.03,Col-0,PAC
1257,1.44,Col-0,PAC
1258,0.52,Col-0,PAC
1259,1.16,Col-0,PAC
1260,1.11,Col-0,PAC
1261,1.43,Col-0,PAC
1262,0.98,Col-0,PAC
1263,1.02,Col-0,PAC
1264,1,Col-0,PAC
1265,0.74,Col-0,PAC
1266,1.07,Col-0,PAC
1267,1.13,Col-0,PAC
1268,1.18,Col-0,PAC
1269,0.41,Col-0,PAC
1270,1.06,Col-0,PAC
1271,0.86,Col-0,PAC
1272,1.53,Col-0,PAC
1273,1.13,Col-0,PAC
1274,1.25,Col-0,PAC
1275,1.2,Col-0,PAC
1276,1.3,Col-0,PAC
1277,1.02,Col-0,PAC
1278,1.02,Col-0,PAC
1279,1.25,Col-0,PAC
1280,0.76,Col-0,PAC
1281,0.66,Col-0,PAC
1282,1.41,Col-0,PAC
1283,0.99,Col-0,PAC
1284,0.95,Col-0,PAC
1285,1.06,Col-0,PAC
1286,1.11,Col-0,PAC
1287,0.88,Col-0,PAC
1288,1.12,Col-0,PAC
1289,0.98,Col-0,PAC
1290,0.72,Col-0,PAC
1291,0.91,Col-0,PAC
1292,1.29,Col-0,PAC
1293,1.53,Col-0,PAC
1294,1.09,Col-0,PAC
1295,0.93,Col-0,PAC
1296,0.57,Col-0,PAC
1297,1.58,Col-0,PAC
1298,0.86,Col-0,PAC
1299,0.38,Col-0,PAC
1300,0.77,Col-0,PAC
1301,1.27,Col-0,PAC
1302,0.87,Col-0,PAC
1303,0.87,Col-0,PAC
1304,0.86,Col-0,PAC
1305,1.31,Col-0,PAC
1306,1.31,Col-0,PAC
1307,1.27,Col-0,PAC
1308,0.91,Col-0,PAC
1309,0.7,Col-0,PAC
1310,0.88,Col-0,PAC
1311,1.14,Col-0,PAC
1312,1.07,Col-0,PAC
1313,1.11,Col-0,PAC
1314,0.9,Col-0,PAC
1315,0.81,Col-0,PAC
1316,0.45,Col-0,PAC
1317,0.9,Col-0,PAC
1318,0.52,Col-0,PAC
1319,0.89,Col-0,PAC
1320,1.41,Col-0,PAC
1321,0.85,Col-0,PAC
1322,1.14,Col-0,PAC
1323,0.79,Col-0,PAC
1324,1.08,Col-0,PAC
1325,0.82,Col-0,PAC
1326,0.93,Col-0,PAC
1327,1.25,Col-0,PAC
1328,0.96,Col-0,PAC
1329,0.61,Col-0,PAC
1330,1.14,Col-0,PAC
1331,0.98,Col-0,PAC
1332,0.88,Col-0,PAC
1333,0.92,Col-0,PAC
1334,1.17,Col-0,PAC
1335,1.24,Col-0,PAC
1336,1.21,Col-0,PAC
1337,0.73,Col-0,PAC
1338,1.34,Col-0,PAC
1339,1.22,Col-0,PAC
1340,1.14,Col-0,PAC
1341,1.2,Col-0,PAC
1342,0.46,Col-0,PAC
1343,1.21,Col-0,PAC
1344,0.86,Col-0,PAC
1345,0.47,Col-0,PAC
1346,0.6,Col-0,PAC
1347,1.14,Col-0,PAC
1348,1.44,Col-0,PAC
1349,1.19,Col-0,PAC
1350,1.31,Col-0,PAC
1351,0.88,Col-0,PAC
1352,0.82,Col-0,PAC
1353,1.14,Col-0,PAC
1354,1.07,Col-0,PAC
1355,1.06,Col-0,PAC
1356,1.33,Col-0,PAC
1357,0.96,Col-0,PAC
1358,0.91,Col-0,PAC
1359,1.1,Col-0,PAC
1360,0.53,Col-0,PAC
1361,1.42,Col-0,PAC
1362,1.8,Col-0,PAC
1363,1.59,Col-0,PAC
1364,1.02,Col-0,PAC
1365,1.14,Col-0,PAC
1366,0.73,Col-0,PAC
1367,1.2,Col-0,PAC
1368,1.18,Col-0,PAC
1369,1.12,Col-0,PAC
1370,0.9,Col-0,PAC
1371,0.73,Col-0,PAC
1372,1.01,Col-0,PAC
1373,0.85,Col-0,PAC
1374,1.48,Col-0,PAC
1375,1.07,Col-0,PAC
1376,0.84,Col-0,PAC
1377,0.95,Col-0,PAC
1378,1.62,Col-0,PAC
1379,1.16,Col-0,PAC
1380,1.2,Col-0,PAC
1381,1.34,Col-0,PAC
1382,1.16,Col-0,PAC
1383,1.07,Col-0,PAC
1384,0.59,Col-0,PAC
1385,1.2,Col-0,PAC
1386,1.26,Col-0,PAC
1387,0.58,Col-0,PAC
1388,1.65,Col-0,PAC
1389,1.3,Col-0,PAC
1390,1.6,Col-0,PAC
1391,1.22,Col-0,PAC
1392,0.68,Col-0,PAC
1393,1,Col-0,PAC
1394,0.46,Col-0,PAC
1395,1.25,Col-0,PAC
1396,0.73,Col-0,PAC
1397,1.08,Col-0,PAC
1398,1.29,Col-0,PAC
1399,0.56,Col-0,PAC
1400,0.77,Col-0,PAC
1401,1.22,Col-0,PAC
1402,0.86,Col-0,PAC
1403,1.12,Col-0,PAC
1404,0.76,Col-0,PAC
1405,0.79,Col-0,PAC
1406,0.83,Col-0,PAC
1407,0.98,Col-0,PAC
1408,0.94,Col-0,PAC
1409,0.28,Col-0,PAC
1410,0.99,Col-0,PAC
1411,1.22,Col-0,PAC
1412,1.17,Col-0,PAC
1413,1.48,Col-0,PAC
1414,1.41,Col-0,PAC
1415,1,Col-0,PAC
1416,1.1,Col-0,PAC
1417,0.77,Col-0,PAC
1418,1.16,Col-0,PAC
1419,1.17,Col-0,PAC
1420,1.17,Col-0,PAC
1421,1.35,Col-0,PAC
1422,1.49,Col-0,PAC
1423,0.95,Col-0,PAC
1424,0.89,Col-0,PAC
1425,0.9,Col-0,PAC
1426,0.97,Col-0,PAC
1427,0.58,Col-0,PAC
1428,1.19,Col-0,PAC
1429,1.26,Col-0,PAC
1430,1.01,Col-0,PAC
1431,0.77,Col-0,PAC
1432,1.09,Col-0,PAC
1433,0.52,Col-0,PAC
1434,0.87,Col-0,PAC
1435,1,Col-0,PAC
1436,0.88,Col-0,PAC
1437,1.1,Col-0,PAC
1438,1.15,Col-0,PAC
1439,1.33,Col-0,PAC
1440,0.74,Col-0,PAC
1441,0.86,Col-0,PAC
1442,0.96,Col-0,PAC
1443,0.74,Col-0,PAC
1444,1.05,Col-0,PAC
1445,1.01,Col-0,PAC
1446,0.75,Col-0,PAC
1447,1.22,Col-0,PAC
1448,0.6,Col-0,PAC
1449,0.9,Col-0,PAC
1450,1.16,Col-0,PAC
1451,0.69,Col-0,PAC
1452,1.25,Col-0,PAC
1453,1.7,Col-0,PAC
1454,0.74,Col-0,PAC
1455,1.29,Col-0,PAC
1456,1.27,Col-0,PAC
1457,0.97,Col-0,PAC
1458,1.19,Col-0,PAC
1459,1.35,Col-0,PAC
1460,0.7,Col-0,PAC
1461,1.01,Col-0,PAC
1462,1.41,Col-0,PAC
1463,1.52,Col-0,PAC
1464,1.16,Col-0,PAC
1465,1.07,Col-0,PAC
1466,0.79,Col-0,PAC
1467,1.17,Col-0,PAC
1468,0.85,Col-0,PAC
1469,0.73,Col-0,PAC
1470,0.85,Col-0,PAC
1471,1.03,Col-0,PAC
1472,1.2,Col-0,PAC
1473,1.72,Col-0,PAC
1474,1.15,Col-0,PAC
1475,1.17,Col-0,PAC
1476,0.95,Col-0,PAC
1477,1.24,Col-0,PAC
1478,1.22,Col-0,PAC
1479,1.1,Col-0,PAC
1480,0.88,Col-0,PAC
1481,0.85,Col-0,PAC
1482,1.17,Col-0,PAC
1483,0.83,Col-0,PAC
1484,1.4,Col-0,PAC
1485,0.87,Col-0,PAC
1486,1.24,Col-0,PAC
1487,1.58,Col-0,PAC
1488,0.94,Col-0,PAC
1489,1.14,Col-0,PAC
1490,0.81,Col-0,PAC
1491,1.47,Col-0,PAC
1492,0.55,Col-0,PAC
1493,0.87,Col-0,PAC
1494,0.87,Col-0,PAC
1495,0.66,Col-0,PAC
1496,1.16,Col-0,PAC
1497,0.87,Col-0,PAC
1498,1.36,Col-0,PAC
1499,0.78,Col-0,PAC
1500,1.36,Col-0,PAC
1501,7.62,dP,Mock
1502,4.73,dP,Mock
1503,5.66,dP,Mock
1504,6.45,dP,Mock
1505,5.79,dP,Mock
1506,3.79,dP,Mock
1507,4.83,dP,Mock
1508,5.09,dP,Mock
1509,6.37,dP,Mock
1510,6.19,dP,Mock
1511,4.88,dP,Mock
1512,5.22,dP,Mock
1513,5.33,dP,Mock
1514,6.21,dP,Mock
1515,5.53,dP,Mock
1516,7.61,dP,Mock
1517,7.2,dP,Mock
1518,7.6,dP,Mock
1519,5.71,dP,Mock
1520,5.92,dP,Mock
1521,5.83,dP,Mock
1522,5.41,dP,Mock
1523,6.99,dP,Mock
1524,5.38,dP,Mock
1525,6.74,dP,Mock
1526,6.82,dP,Mock
1527,7.45,dP,Mock
1528,4.5,dP,Mock
1529,7.5,dP,Mock
1530,5.11,dP,Mock
1531,6.18,dP,Mock
1532,4.31,dP,Mock
1533,6.87,dP,Mock
1534,4.98,dP,Mock
1535,6.66,dP,Mock
1536,6.08,dP,Mock
1537,7.3,dP,Mock
1538,6.08,dP,Mock
1539,5.11,dP,Mock
1540,7.54,dP,Mock
1541,6.08,dP,Mock
1542,6.73,dP,Mock
1543,6.83,dP,Mock
1544,4.32,dP,Mock
1545,6.27,dP,Mock
1546,5.61,dP,Mock
1547,6.53,dP,Mock
1548,3.93,dP,Mock
1549,6.9,dP,Mock
1550,6.26,dP,Mock
1551,8.1,dP,Mock
1552,5.84,dP,Mock
1553,6.54,dP,Mock
1554,5.38,dP,Mock
1555,4.49,dP,Mock
1556,6.29,dP,Mock
1557,5.34,dP,Mock
1558,5.38,dP,Mock
1559,6.3,dP,Mock
1560,5.29,dP,Mock
1561,7.02,dP,Mock
1562,4.86,dP,Mock
1563,5.42,dP,Mock
1564,4.97,dP,Mock
1565,6.8,dP,Mock
1566,6.01,dP,Mock
1567,7,dP,Mock
1568,4.15,dP,Mock
1569,3.07,dP,Mock
1570,5.43,dP,Mock
1571,6.01,dP,Mock
1572,6.68,dP,Mock
1573,7.52,dP,Mock
1574,5.96,dP,Mock
1575,6.36,dP,Mock
1576,7.39,dP,Mock
1577,5.15,dP,Mock
1578,6.28,dP,Mock
1579,7.86,dP,Mock
1580,5.52,dP,Mock
1581,5.5,dP,Mock
1582,6.44,dP,Mock
1583,7.57,dP,Mock
1584,4.78,dP,Mock
1585,5.37,dP,Mock
1586,6.4,dP,Mock
1587,5.66,dP,Mock
1588,7.3,dP,Mock
1589,5.52,dP,Mock
1590,3.73,dP,Mock
1591,5.31,dP,Mock
1592,5.09,dP,Mock
1593,7.77,dP,Mock
1594,5.06,dP,Mock
1595,6.7,dP,Mock
1596,6.55,dP,Mock
1597,5.36,dP,Mock
1598,7.17,dP,Mock
1599,6.11,dP,Mock
1600,5.95,dP,Mock
1601,8.4,dP,Mock
1602,6.08,dP,Mock
1603,6.55,dP,Mock
1604,3.81,dP,Mock
1605,5.71,dP,Mock
1606,5.64,dP,Mock
1607,5.01,dP,Mock
1608,7.31,dP,Mock
1609,5.57,dP,Mock
1610,5.03,dP,Mock
1611,5.42,dP,Mock
1612,6.72,dP,Mock
1613,4.78,dP,Mock
1614,5.19,dP,Mock
1615,4.14,dP,Mock
1616,6.77,dP,Mock
1617,5.91,dP,Mock
1618,4.36,dP,Mock
1619,7.02,dP,Mock
1620,4.87,dP,Mock
1621,6.26,dP,Mock
1622,5.46,dP,Mock
1623,4.35,dP,Mock
1624,5.24,dP,Mock
1625,6.41,dP,Mock
1626,7.2,dP,Mock
1627,6.09,dP,Mock
1628,6.96,dP,Mock
1629,5.82,dP,Mock
1630,6.94,dP,Mock
1631,6.59,dP,Mock
1632,6.84,dP,Mock
1633,4.31,dP,Mock
1634,5.76,dP,Mock
1635,6.51,dP,Mock
1636,6.35,dP,Mock
1637,6.06,dP,Mock
1638,4.18,dP,Mock
1639,6.7,dP,Mock
1640,7.3,dP,Mock
1641,5.71,dP,Mock
1642,6.77,dP,Mock
1643,6.37,dP,Mock
1644,6.21,dP,Mock
1645,5.88,dP,Mock
1646,5.12,dP,Mock
1647,6.65,dP,Mock
1648,5.37,dP,Mock
1649,5.27,dP,Mock
1650,6.24,dP,Mock
1651,5.3,dP,Mock
1652,4.41,dP,Mock
1653,4.91,dP,Mock
1654,6.69,dP,Mock
1655,4.52,dP,Mock
1656,7.22,dP,Mock
1657,6.42,dP,Mock
1658,6.98,dP,Mock
1659,6.39,dP,Mock
1660,5.86,dP,Mock
1661,5.85,dP,Mock
1662,5.92,dP,Mock
1663,6.47,dP,Mock
1664,6.13,dP,Mock
1665,6.85,dP,Mock
1666,6.63,dP,Mock
1667,7.04,dP,Mock
1668,5.43,dP,Mock
1669,6.09,dP,Mock
1670,5.28,dP,Mock
1671,5.71,dP,Mock
1672,6.93,dP,Mock
1673,7.04,dP,Mock
1674,4.63,dP,Mock
1675,7.4,dP,Mock
1676,8.26,dP,Mock
1677,5.54,dP,Mock
1678,7.04,dP,Mock
1679,5.28,dP,Mock
1680,5.24,dP,Mock
1681,5.65,dP,Mock
1682,6.39,dP,Mock
1683,6.25,dP,Mock
1684,5.53,dP,Mock
1685,7.69,dP,Mock
1686,5.27,dP,Mock
1687,5.22,dP,Mock
1688,5.44,dP,Mock
1689,5.1,dP,Mock
1690,3.87,dP,Mock
1691,6.26,dP,Mock
1692,7.08,dP,Mock
1693,5.27,dP,Mock
1694,6.34,dP,Mock
1695,4.6,dP,Mock
1696,6.31,dP,Mock
1697,5.89,dP,Mock
1698,5.35,dP,Mock
1699,6.87,dP,Mock
1700,5.32,dP,Mock
1701,4.98,dP,Mock
1702,6.58,dP,Mock
1703,4.86,dP,Mock
1704,6.04,dP,Mock
1705,5.44,dP,Mock
1706,4.31,dP,Mock
1707,5.56,dP,Mock
1708,6.79,dP,Mock
1709,6.24,dP,Mock
1710,5.25,dP,Mock
1711,4.86,dP,Mock
1712,5.56,dP,Mock
1713,6.67,dP,Mock
1714,6.56,dP,Mock
1715,6.57,dP,Mock
1716,6.43,dP,Mock
1717,7.56,dP,Mock
1718,7.21,dP,Mock
1719,5.65,dP,Mock
1720,7.34,dP,Mock
1721,4.85,dP,Mock
1722,6.24,dP,Mock
1723,5.43,dP,Mock
1724,6.79,dP,Mock
1725,6.06,dP,Mock
1726,4.39,dP,Mock
1727,7.87,dP,Mock
1728,4.11,dP,Mock
1729,4.13,dP,Mock
1730,6.16,dP,Mock
1731,5.09,dP,Mock
1732,5.91,dP,Mock
1733,5.16,dP,Mock
1734,5.75,dP,Mock
1735,6.03,dP,Mock
1736,8.18,dP,Mock
1737,6.62,dP,Mock
1738,6.02,dP,Mock
1739,3.99,dP,Mock
1740,7.28,dP,Mock
1741,7.39,dP,Mock
1742,5.62,dP,Mock
1743,6.33,dP,Mock
1744,7.01,dP,Mock
1745,6.06,dP,Mock
1746,6.14,dP,Mock
1747,5.66,dP,Mock
1748,6.37,dP,Mock
1749,5.18,dP,Mock
1750,6.58,dP,Mock
1751,6.57,dP,Mock
1752,7.71,dP,Mock
1753,6.48,dP,Mock
1754,7.26,dP,Mock
1755,6.43,dP,Mock
1756,6.35,dP,Mock
1757,7.12,dP,Mock
1758,5.26,dP,Mock
1759,6.39,dP,Mock
1760,6.12,dP,Mock
1761,6.79,dP,Mock
1762,5.45,dP,Mock
1763,7.14,dP,Mock
1764,6.47,dP,Mock
1765,6.96,dP,Mock
1766,5.28,dP,Mock
1767,5.87,dP,Mock
1768,5.2,dP,Mock
1769,6.35,dP,Mock
1770,6.44,dP,Mock
1771,6.3,dP,Mock
1772,6.18,dP,Mock
1773,7.1,dP,Mock
1774,6.52,dP,Mock
1775,7.25,dP,Mock
1776,5.8,dP,Mock
1777,7.64,dP,Mock
1778,5.74,dP,Mock
1779,5.7,dP,Mock
1780,6.62,dP,Mock
1781,4.92,dP,Mock
1782,6.02,dP,Mock
1783,6.72,dP,Mock
1784,4.76,dP,Mock
1785,7.69,dP,Mock
1786,7.57,dP,Mock
1787,6.98,dP,Mock
1788,6.22,dP,Mock
1789,4.78,dP,Mock
1790,6.01,dP,Mock
1791,6.35,dP,Mock
1792,7.78,dP,Mock
1793,5.53,dP,Mock
1794,7.03,dP,Mock
1795,7.22,dP,Mock
1796,6.83,dP,Mock
1797,4.92,dP,Mock
1798,6.89,dP,Mock
1799,6.36,dP,Mock
1800,4.86,dP,Mock
1801,5.93,dP,Mock
1802,5.52,dP,Mock
1803,6.55,dP,Mock
1804,6.55,dP,Mock
1805,6.14,dP,Mock
1806,5.75,dP,Mock
1807,6.76,dP,Mock
1808,6.09,dP,Mock
1809,6.21,dP,Mock
1810,6.3,dP,Mock
1811,6.82,dP,Mock
1812,6.12,dP,Mock
1813,7.46,dP,Mock
1814,5.27,dP,Mock
1815,6.01,dP,Mock
1816,5.34,dP,Mock
1817,5.11,dP,Mock
1818,5.22,dP,Mock
1819,4.7,dP,Mock
1820,6.44,dP,Mock
1821,3.78,dP,Mock
1822,5.14,dP,Mock
1823,6.66,dP,Mock
1824,5.27,dP,Mock
1825,5.98,dP,Mock
1826,5.45,dP,Mock
1827,6.13,dP,Mock
1828,5.64,dP,Mock
1829,5.77,dP,Mock
1830,5.54,dP,Mock
1831,6.02,dP,Mock
1832,6.71,dP,Mock
1833,6.07,dP,Mock
1834,6.49,dP,Mock
1835,5.4,dP,Mock
1836,6.85,dP,Mock
1837,5.76,dP,Mock
1838,6.83,dP,Mock
1839,4.79,dP,Mock
1840,4.45,dP,Mock
1841,8.05,dP,Mock
1842,8.44,dP,Mock
1843,4.24,dP,Mock
1844,6.33,dP,Mock
1845,5.73,dP,Mock
1846,5.11,dP,Mock
1847,5.59,dP,Mock
1848,4.48,dP,Mock
1849,4.37,dP,Mock
1850,6.03,dP,Mock
1851,6.7,dP,Mock
1852,6.23,dP,Mock
1853,5.61,dP,Mock
1854,5.76,dP,Mock
1855,4.64,dP,Mock
1856,6.76,dP,Mock
1857,6.53,dP,Mock
1858,5.59,dP,Mock
1859,7.13,dP,Mock
1860,6.33,dP,Mock
1861,6.01,dP,Mock
1862,4.97,dP,Mock
1863,4.65,dP,Mock
1864,6.72,dP,Mock
1865,3.63,dP,Mock
1866,5.75,dP,Mock
1867,7.41,dP,Mock
1868,6.96,dP,Mock
1869,6.2,dP,Mock
1870,5.61,dP,Mock
1871,5.16,dP,Mock
1872,5.26,dP,Mock
1873,5.3,dP,Mock
1874,5.34,dP,Mock
1875,6.57,dP,Mock
1876,6.84,dP,Mock
1877,5.59,dP,Mock
1878,5.57,dP,Mock
1879,4.48,dP,Mock
1880,7.1,dP,Mock
1881,6.26,dP,Mock
1882,6.39,dP,Mock
1883,6.63,dP,Mock
1884,6.51,dP,Mock
1885,6.33,dP,Mock
1886,7.4,dP,Mock
1887,6.04,dP,Mock
