rootsample,length,Genotype,Treatment
473,6.39,Col-0,Mock
474,1.16,Col-0,Mock
475,4.4,Col-0,Mock
476,3.92,Col-0,Mock
477,4.07,Col-0,Mock
478,2.63,Col-0,Mock
479,3.86,Col-0,Mock
480,4.53,Col-0,Mock
481,3.98,Col-0,Mock
482,3.33,Col-0,Mock
483,3.01,Col-0,Mock
484,3.51,Col-0,Mock
485,5.54,Col-0,Mock
486,3.31,Col-0,Mock
487,4.96,Col-0,Mock
488,4.23,Col-0,Mock
489,4.35,Col-0,Mock
490,1.72,Col-0,Mock
491,3.95,Col-0,Mock
492,4.29,Col-0,Mock
493,3.13,Col-0,Mock
494,3.69,Col-0,Mock
495,4.85,Col-0,Mock
496,3.83,Col-0,Mock
497,3.27,Col-0,Mock
498,5.01,Col-0,Mock
499,5.38,Col-0,Mock
500,4.1,Col-0,Mock
501,6.38,Col-0,GA
502,5.29,Col-0,GA
503,4.06,Col-0,GA
504,5.48,Col-0,GA
505,6.27,Col-0,GA
506,5.01,Col-0,GA
507,6.08,Col-0,GA
508,3.98,Col-0,GA
509,5.74,Col-0,GA
510,4.77,Col-0,GA
511,6.65,Col-0,GA
512,5.68,Col-0,GA
513,6.76,Col-0,GA
514,6.16,Col-0,GA
515,5.83,Col-0,GA
516,5.65,Col-0,GA
517,4.46,Col-0,GA
518,4.2,Col-0,GA
519,4.6,Col-0,GA
520,5.37,Col-0,GA
521,4.95,Col-0,GA
522,6.87,Col-0,GA
523,5.4,Col-0,GA
524,5.76,Col-0,GA
525,6.61,Col-0,GA
526,4.2,Col-0,GA
527,6.02,Col-0,GA
528,5.15,Col-0,GA
529,5.36,Col-0,GA
530,5.12,Col-0,GA
531,6.95,Col-0,GA
532,5.58,Col-0,GA
533,5.84,Col-0,GA
534,4.76,Col-0,GA
535,4.48,Col-0,GA
536,7.68,Col-0,GA
537,4.31,Col-0,GA
538,5.42,Col-0,GA
539,6.15,Col-0,GA
540,3,Col-0,GA
541,4.52,Col-0,GA
542,5.4,Col-0,GA
543,4.97,Col-0,GA
544,4.69,Col-0,GA
545,5.63,Col-0,GA
546,3.93,Col-0,GA
547,5.28,Col-0,GA
548,3.17,Col-0,GA
549,6.02,Col-0,GA
550,5.72,Col-0,GA
551,6.87,Col-0,GA
552,4.62,Col-0,GA
553,5.55,Col-0,GA
554,4.48,Col-0,GA
555,5.61,Col-0,GA
556,5.56,Col-0,GA
557,4.69,Col-0,GA
558,5.77,Col-0,GA
559,6.15,Col-0,GA
560,6.2,Col-0,GA
561,5.91,Col-0,GA
562,5.04,Col-0,GA
563,4.48,Col-0,GA
564,4.19,Col-0,GA
565,4.73,Col-0,GA
566,7.35,Col-0,GA
567,7.32,Col-0,GA
568,5.5,Col-0,GA
569,5.91,Col-0,GA
570,6.68,Col-0,GA
571,4.38,Col-0,GA
572,5.87,Col-0,GA
573,5.98,Col-0,GA
574,4.65,Col-0,GA
575,7.31,Col-0,GA
576,6.38,Col-0,GA
577,5.78,Col-0,GA
