rootsample,Hair Root length,Genotype,Treatment
2551,2.69,ga1-13,GA
2552,2.68,ga1-13,GA
2553,2.3,ga1-13,GA
2554,2.09,ga1-13,GA
2555,2.28,ga1-13,GA
2556,1.46,ga1-13,GA
2557,2.96,ga1-13,GA
2558,1.87,ga1-13,GA
2559,2.49,ga1-13,GA
2560,2.5,ga1-13,GA
2561,3.12,ga1-13,GA
2562,0.75,ga1-13,GA
2563,2.65,ga1-13,GA
2564,2.23,ga1-13,GA
2565,3.61,ga1-13,GA
2566,1.87,ga1-13,GA
2567,2.42,ga1-13,GA
2568,2.96,ga1-13,GA
2569,3.19,ga1-13,GA
2570,2.47,ga1-13,GA
2571,2.59,ga1-13,GA
2572,2.53,ga1-13,GA
2573,2.08,ga1-13,GA
2574,2.26,ga1-13,GA
2575,1.38,ga1-13,GA
2576,1.75,ga1-13,GA
2577,2.43,ga1-13,GA
2578,1.62,ga1-13,GA
2579,3.08,ga1-13,GA
2580,2.44,ga1-13,GA
2581,2.05,ga1-13,GA
2582,1.75,ga1-13,GA
2583,1.95,ga1-13,GA
2584,1.99,ga1-13,GA
2585,2.47,ga1-13,GA
2586,2.53,ga1-13,GA
2587,0.89,ga1-13,GA
2588,2.92,ga1-13,GA
2589,3.12,ga1-13,GA
2590,1.56,ga1-13,GA
2591,1.55,ga1-13,GA
2592,2.44,ga1-13,GA
2593,3.75,ga1-13,GA
2594,1.69,ga1-13,GA
2595,2.79,ga1-13,GA
2596,2.17,ga1-13,GA
2597,3.12,ga1-13,GA
2598,2.12,ga1-13,GA
2599,2.73,ga1-13,GA
2600,1.71,ga1-13,GA
2601,1.62,ga1-13,GA
2602,2.6,ga1-13,GA
2603,1.44,ga1-13,GA
2604,2.19,ga1-13,GA
2605,3.1,ga1-13,GA
2606,2.27,ga1-13,GA
2607,2.41,ga1-13,GA
2608,2.04,ga1-13,GA
2609,2.3,ga1-13,GA
2610,2.6,ga1-13,GA
2611,1.31,ga1-13,GA
2612,2.81,ga1-13,GA
2613,1.75,ga1-13,GA
2614,1.71,ga1-13,GA
2615,2.07,ga1-13,GA
2616,2.41,ga1-13,GA
2617,2.68,ga1-13,GA
2618,2.59,ga1-13,GA
2619,2.23,ga1-13,GA
2620,2.4,ga1-13,GA
2621,2.82,ga1-13,GA
2622,2.04,ga1-13,GA
2623,1.5,ga1-13,GA
2624,1.7,ga1-13,GA
2625,1.84,ga1-13,GA
2626,2.01,ga1-13,GA
2627,2.01,ga1-13,GA
2628,2.02,ga1-13,GA
2629,3.28,ga1-13,GA
2630,2.26,ga1-13,GA
2631,1.77,ga1-13,GA
2632,2.04,ga1-13,GA
2633,2.81,ga1-13,GA
2634,2.65,ga1-13,GA
2635,2.26,ga1-13,GA
2636,2.29,ga1-13,GA
2637,2.86,ga1-13,GA
2638,3.35,ga1-13,GA
2639,2.41,ga1-13,GA
2640,1.83,ga1-13,GA
2641,3.41,ga1-13,GA
2642,0.99,ga1-13,GA
2643,3.07,ga1-13,GA
2644,2.69,ga1-13,GA
2645,2.08,ga1-13,GA
2646,1.52,ga1-13,GA
2647,2.31,ga1-13,GA
2648,2.8,ga1-13,GA
2649,3.11,ga1-13,GA
2650,3.19,ga1-13,GA
2651,2.07,ga1-13,GA
2652,2.07,ga1-13,GA
2653,3.08,ga1-13,GA
2654,3.06,ga1-13,GA
2655,2.61,ga1-13,GA
2656,2.87,ga1-13,GA
2657,1.85,ga1-13,GA
2658,2.94,ga1-13,GA
2659,2.53,ga1-13,GA
2660,2.85,ga1-13,GA
2661,2.03,ga1-13,GA
2662,3.1,ga1-13,GA
2663,1.08,ga1-13,GA
2664,2.86,ga1-13,GA
2665,1.23,ga1-13,GA
2666,2.44,ga1-13,GA
2667,2.57,ga1-13,GA
2668,2.15,ga1-13,GA
2669,1.91,ga1-13,GA
2670,2.58,ga1-13,GA
2671,1.85,ga1-13,GA
2672,3.07,ga1-13,GA
2673,1.71,ga1-13,GA
2674,3.19,ga1-13,GA
2675,1.6,ga1-13,GA
2676,2.11,ga1-13,GA
2677,2.35,ga1-13,GA
2678,1.27,ga1-13,GA
2679,1.13,ga1-13,GA
2680,2.99,ga1-13,GA
2681,2.44,ga1-13,GA
2682,2.37,ga1-13,GA
2683,2.02,ga1-13,GA
2684,1.33,ga1-13,GA
2685,1.85,ga1-13,GA
2686,2.2,ga1-13,GA
2687,3.11,ga1-13,GA
2688,2.83,ga1-13,GA
2689,2.14,ga1-13,GA
2690,2.45,ga1-13,GA
2691,2.64,ga1-13,GA
2692,3.01,ga1-13,GA
2693,3.2,ga1-13,GA
2694,2.05,ga1-13,GA
2695,1.59,ga1-13,GA
2696,1.97,ga1-13,GA
2697,2.72,ga1-13,GA
2698,2.45,ga1-13,GA
2699,1.75,ga1-13,GA
2700,1.29,ga1-13,GA
2701,3.18,ga1-13,GA
2702,3.49,ga1-13,GA
2703,2.67,ga1-13,GA
2704,2.23,ga1-13,GA
2705,3.18,ga1-13,GA
2706,2.73,ga1-13,GA
2707,2.97,ga1-13,GA
2708,3.59,ga1-13,GA
2709,1.96,ga1-13,GA
2710,3,ga1-13,GA
2711,1.48,ga1-13,GA
2712,3.2,ga1-13,GA
2713,2.46,ga1-13,GA
2714,1.61,ga1-13,GA
2715,1.07,ga1-13,GA
2716,1.7,ga1-13,GA
2717,2.76,ga1-13,GA
2718,2.44,ga1-13,GA
2719,2.34,ga1-13,GA
2720,2.04,ga1-13,GA
2721,2.75,ga1-13,GA
2722,3.3,ga1-13,GA
2723,3.79,ga1-13,GA
2724,2.88,ga1-13,GA
2725,1.29,ga1-13,GA
2726,2.13,ga1-13,GA
2727,2.36,ga1-13,GA
2728,3.12,ga1-13,GA
2729,2.9,ga1-13,GA
2730,1.42,ga1-13,GA
2731,2.26,ga1-13,GA
2732,2.44,ga1-13,GA
2733,3.08,ga1-13,GA
2734,2.18,ga1-13,GA
2735,1.42,ga1-13,GA
2736,3.03,ga1-13,GA
2737,2.61,ga1-13,GA
2738,1.55,ga1-13,GA
2739,1.97,ga1-13,GA
2740,1.5,ga1-13,GA
2741,2.4,ga1-13,GA
2742,2.86,ga1-13,GA
2743,1.85,ga1-13,GA
2744,2.7,ga1-13,GA
2745,3.76,ga1-13,GA
2746,1.83,ga1-13,GA
2747,3.02,ga1-13,GA
2748,2.09,ga1-13,GA
2749,2.93,ga1-13,GA
2750,1.53,ga1-13,GA
2751,2.35,ga1-13,GA
2752,1.8,ga1-13,GA
2753,2.86,ga1-13,GA
2754,3.51,ga1-13,GA
2755,3.5,ga1-13,GA
2756,2.67,ga1-13,GA
2757,3.58,ga1-13,GA
2758,1.78,ga1-13,GA
2759,3.32,ga1-13,GA
2760,2.7,ga1-13,GA
2761,1.46,ga1-13,GA
2762,1.35,ga1-13,GA
2763,2.15,ga1-13,GA
2764,2.44,ga1-13,GA
2765,3.14,ga1-13,GA
2766,1.95,ga1-13,GA
2767,3.07,ga1-13,GA
2768,1.95,ga1-13,GA
2769,2.37,ga1-13,GA
2770,2.42,ga1-13,GA
2771,2.45,ga1-13,GA
2772,2.48,ga1-13,GA
2773,2.78,ga1-13,GA
2774,2.44,ga1-13,GA
2775,2.21,ga1-13,GA
2776,3.2,ga1-13,GA
2777,2.23,ga1-13,GA
2778,2.23,ga1-13,GA
2779,2.66,ga1-13,GA
2780,2.72,ga1-13,GA
2781,2.7,ga1-13,GA
2782,1.12,ga1-13,GA
2783,2.16,ga1-13,GA
2784,1.33,ga1-13,GA
2785,2.11,ga1-13,GA
2786,2.4,ga1-13,GA
2787,2.45,ga1-13,GA
2788,3.06,ga1-13,GA
2789,2.03,ga1-13,GA
2790,1.61,ga1-13,GA
2791,2.62,ga1-13,GA
2792,3.3,ga1-13,GA
2793,2.72,ga1-13,GA
2794,2.03,ga1-13,GA
2795,2.53,ga1-13,GA
2796,1.79,ga1-13,GA
2797,2.56,ga1-13,GA
2798,3.22,ga1-13,GA
2799,2.46,ga1-13,GA
2800,2.36,ga1-13,GA
2801,2.03,ga1-13,GA
2802,3.12,ga1-13,GA
2803,1.78,ga1-13,GA
2804,1.5,ga1-13,GA
2805,2.69,ga1-13,GA
2806,1.82,ga1-13,GA
2807,2.54,ga1-13,GA
2808,3.03,ga1-13,GA
2809,2.13,ga1-13,GA
2810,3.34,ga1-13,GA
2811,3.21,ga1-13,GA
2812,2.66,ga1-13,GA
2813,2.16,ga1-13,GA
2814,2.36,ga1-13,GA
2815,2.45,ga1-13,GA
2816,3.41,ga1-13,GA
2817,2.49,ga1-13,GA
2818,2.41,ga1-13,GA
2819,2.53,ga1-13,GA
2820,3.04,ga1-13,GA
2821,3.3,ga1-13,GA
2822,1.79,ga1-13,GA
2823,2.11,ga1-13,GA
2824,1.54,ga1-13,GA
2825,3.93,ga1-13,GA
2826,1.8,ga1-13,GA
2827,1.67,ga1-13,GA
2828,3.27,ga1-13,GA
2829,1.84,ga1-13,GA
2830,1.99,ga1-13,GA
2831,1.84,ga1-13,GA
2832,2.36,ga1-13,GA
2833,2.59,ga1-13,GA
2834,1.97,ga1-13,GA
2835,1.48,ga1-13,GA
2836,2.26,ga1-13,GA
2837,2.24,ga1-13,GA
2838,3.03,ga1-13,GA
2839,1.88,ga1-13,GA
2840,2.53,ga1-13,GA
2841,3.54,ga1-13,GA
2842,2.63,ga1-13,GA
2843,2.24,ga1-13,GA
2844,2.84,ga1-13,GA
2845,3.36,ga1-13,GA
2846,1.86,ga1-13,GA
2847,2.07,ga1-13,GA
2848,2.67,ga1-13,GA
2849,1.75,ga1-13,GA
2850,2,ga1-13,GA
2851,1.56,ga1-13,GA
2852,2.38,ga1-13,GA
2853,1.97,ga1-13,GA
2854,2.3,ga1-13,GA
2855,2.66,ga1-13,GA
2856,1.03,ga1-13,GA
2857,1.64,ga1-13,GA
2858,3.29,ga1-13,GA
2859,2.2,ga1-13,GA
2860,1.83,ga1-13,GA
2861,2.58,ga1-13,GA
2862,3.58,ga1-13,GA
2863,3.12,ga1-13,GA
2864,2.22,ga1-13,GA
2865,3.04,ga1-13,GA
2866,1.87,ga1-13,GA
2867,2.15,ga1-13,GA
2868,1.73,ga1-13,GA
2869,2.97,ga1-13,GA
2870,2.86,ga1-13,GA
2871,2.12,ga1-13,GA
2872,2.72,ga1-13,GA
2873,2.03,ga1-13,GA
2874,3.31,ga1-13,GA
2875,2.63,ga1-13,GA
2876,2.01,ga1-13,GA
2877,2.85,ga1-13,GA
2878,2.42,ga1-13,GA
2879,2.36,ga1-13,GA
2880,2.6,ga1-13,GA
2881,3.07,ga1-13,GA
2882,1.82,ga1-13,GA
2883,1.51,ga1-13,GA
2884,3.69,ga1-13,GA
2885,3.02,ga1-13,GA
2886,2.22,ga1-13,GA
2887,2.49,ga1-13,GA
2888,2.63,ga1-13,GA
2889,2.07,ga1-13,GA
2890,2.07,ga1-13,GA
2891,1.72,ga1-13,GA
2892,1.94,ga1-13,GA
2893,1.63,ga1-13,GA
2894,2.13,ga1-13,GA
2895,2.82,ga1-13,GA
2896,3.26,ga1-13,GA
2897,2.55,ga1-13,GA
2898,1.55,ga1-13,GA
2899,2.37,ga1-13,GA
2900,3.6,ga1-13,GA
2901,1.98,ga1-13,GA
2902,2.2,ga1-13,GA
2903,2.41,ga1-13,GA
2904,2.03,ga1-13,GA
2905,3.61,ga1-13,GA
2906,2.02,ga1-13,GA
2907,1.37,ga1-13,GA
2908,2.98,ga1-13,GA
2909,2.05,ga1-13,GA
2910,2.76,ga1-13,GA
2911,1.47,ga1-13,GA
2912,3.72,ga1-13,GA
2913,2.33,ga1-13,GA
2914,1.77,ga1-13,GA
2915,3.71,ga1-13,GA
2916,2.76,ga1-13,GA
2917,2.69,ga1-13,GA
2918,2.22,ga1-13,GA
2919,3.94,ga1-13,GA
2920,2.03,ga1-13,GA
2921,3.52,ga1-13,GA
2922,1.85,ga1-13,GA
2923,2.92,ga1-13,GA
2924,2.63,ga1-13,GA
2925,1.63,ga1-13,GA
2926,1.9,ga1-13,GA
2927,3.69,ga1-13,GA
2928,1.63,ga1-13,GA
2929,1.75,ga1-13,GA
2930,2.52,ga1-13,GA
2931,2.15,ga1-13,GA
2932,1.12,ga1-13,GA
2933,1.01,ga1-13,GA
2934,2.43,ga1-13,GA
2935,3.35,ga1-13,GA
2936,1.99,ga1-13,GA
2937,2.98,ga1-13,GA
2938,1.68,ga1-13,GA
2939,1.84,ga1-13,GA
2940,2.92,ga1-13,GA
2941,3.27,ga1-13,GA
2942,2.52,ga1-13,GA
2943,2.01,ga1-13,GA
2944,2.41,ga1-13,GA
2945,2.47,ga1-13,GA
2946,2.44,ga1-13,GA
2947,3.26,ga1-13,GA
2948,2.29,ga1-13,GA
2949,3,ga1-13,GA
2950,1.56,ga1-13,GA
2951,1.61,ga1-13,GA
2952,3.5,ga1-13,GA
2953,4.2,ga1-13,GA
2954,2.46,ga1-13,GA
2955,2.9,ga1-13,GA
2956,1.95,ga1-13,GA
2957,2.88,ga1-13,GA
2958,2.99,ga1-13,GA
2959,3.56,ga1-13,GA
2960,1.45,ga1-13,GA
2961,2.66,ga1-13,GA
2962,0.91,ga1-13,GA
2963,2.73,ga1-13,GA
2964,2.28,ga1-13,GA
2965,3.12,ga1-13,GA
2966,2.8,ga1-13,GA
2967,2.56,ga1-13,GA
2968,1.67,ga1-13,GA
2969,3.07,ga1-13,GA
2970,2.17,ga1-13,GA
2971,2.18,ga1-13,GA
2972,3.64,ga1-13,GA
2973,2.62,ga1-13,GA
2974,2.39,ga1-13,GA
2975,1.96,ga1-13,GA
2976,2.54,ga1-13,GA
2977,3.04,ga1-13,GA
2978,2.64,ga1-13,GA
2979,0.75,ga1-13,GA
2980,3.24,ga1-13,GA
2981,2.94,ga1-13,GA
2982,2.16,ga1-13,GA
2983,2.26,ga1-13,GA
2984,2.82,ga1-13,GA
2985,1.95,ga1-13,GA
2986,2.79,ga1-13,GA
2987,1.78,ga1-13,GA
2988,2.19,ga1-13,GA
2989,3,ga1-13,GA
2990,2.17,ga1-13,GA
2991,2.44,ga1-13,GA
2992,1.64,ga1-13,GA
2993,1.68,ga1-13,GA
2994,2.37,ga1-13,GA
2995,2.97,ga1-13,GA
2996,1.6,ga1-13,GA
2997,3.62,ga1-13,GA
2998,1.66,ga1-13,GA
2999,3.05,ga1-13,GA
3000,1.97,ga1-13,GA
