ID,SL_C21h0_1,SL_C21h0_2,SL_C21h0_3,SL_T21h2_1,SL_T21h2_2,SL_T21h2_3,SL_GAT21h2_1,SL_GAT21h2_2,SL_GAT21h2_3,SL_GAT21h4_1,SL_GAT21h4_2,SL_GAT21h4_3
Gene161,6.935527583,7.162839992,7.178453958,7.180797966,7.269884176,7.288794835,7.38250793,7.237115093,7.861753281,7.556323445,7.60507651,7.571789384
Gene162,6.940399391,7.007758654,6.973411729,7.084116204,7.075765746,7.053743718,7.28224086,7.017271348,7.233642825,7.058648986,6.937911592,7.130933452
Gene163,6.952994344,7.021991789,6.856757593,6.643119474,6.575566264,6.635307686,6.277642843,6.488504399,6.626812131,6.881219728,6.656060442,6.444359877
Gene164,6.958257362,6.872154887,6.733458554,7.695285919,7.737777074,7.649167839,7.933913002,7.624765591,7.80696622,7.578721598,7.39998759,7.488354152
Gene165,6.961052969,6.723738121,6.724139443,6.827918705,6.670679855,6.748862153,6.714826015,6.609140956,6.557547076,6.818132056,6.732088931,6.686126626
Gene166,6.971810417,7.023061651,6.908745588,6.597872265,6.745349657,6.574780677,6.24231272,6.266339246,6.222197439,6.100126227,5.977027558,6.265218772
Gene167,6.986767869,6.87440319,7.132724009,9.278021666,8.724751606,8.81403085,9.005525763,9.064035572,8.904273668,7.332038066,7.169395346,7.210686427
Gene168,6.999184265,6.904030559,6.720276963,6.884184426,6.883815875,6.833657124,6.859883565,6.762119228,7.394285164,6.913444346,6.995786118,6.801461177
Gene169,7.048910989,6.774943812,6.83178582,7.768611399,7.842558149,7.591181108,8.0620002,7.856607665,7.948336539,7.336747583,7.389652988,7.435105942
Gene170,7.061545211,7.168601997,6.98633482,6.952506457,7.102843168,7.09376008,7.183490217,6.838981899,7.657218253,6.937091929,6.973321752,6.889478262
Gene171,7.066425778,6.969965864,7.003597687,6.955854401,7.006947899,7.009963887,7.244249087,7.075900848,7.622025031,6.955453336,6.940317833,7.04347653
Gene172,7.067611401,7.10021262,7.129779892,6.934367159,7.015335656,6.934690379,6.750181127,6.977033943,6.977524585,7.063223701,6.997164344,6.927355607
Gene173,7.077583394,7.228478614,7.180825889,7.169159372,7.319115013,7.25739557,7.338583813,7.4578101,8.045557446,7.211496706,7.375807977,7.389926295
Gene174,7.092903862,7.226094914,7.337951291,7.383096406,7.336119528,7.284925624,7.476985699,7.433913188,7.643985213,7.113575105,7.086859495,7.298055962
Gene175,7.119027238,6.974208043,7.045086532,6.972389108,6.876550926,6.985647439,6.890778888,7.051628681,7.054259561,7.038564918,7.131508887,7.073152954
Gene176,7.126966618,7.228516095,7.189612044,7.206838982,7.331276584,7.187470798,7.164553258,7.118463706,8.276146379,7.423851074,7.468355765,7.319360854
Gene177,7.131221501,7.185156395,7.278280999,7.266509364,7.185300979,7.380540859,7.453072698,7.321364721,7.468108969,7.684599593,7.591407607,7.290925663
Gene178,7.13514783,7.272851273,7.102621786,7.174875653,7.153589408,7.18202019,7.296502803,7.320739491,7.281592397,7.083438074,7.112650008,7.12707052
Gene179,7.162671271,7.194735166,7.195759697,7.149481892,7.26085846,7.220547266,7.274409168,7.151261868,7.896887738,7.26977977,7.368392983,7.28160486
Gene180,7.170738256,7.092054679,7.068028486,6.751513165,6.649700411,6.971812878,6.860474657,6.757947613,6.893914657,7.316796186,7.220332733,7.238731807
Gene181,7.204258752,7.19694684,7.446931098,7.294777349,7.072901079,7.335195898,7.22660482,7.057455646,7.259357647,7.351677839,7.544480402,7.237877172
Gene182,7.206199304,7.172481803,7.132956721,7.012669765,7.153366086,7.184807399,7.119756795,6.936361869,7.891939547,7.306641773,7.199615285,7.012322426
Gene183,7.216029624,7.138938241,7.116043535,7.534897943,7.541018832,7.713041585,7.255539494,6.954315397,7.173886467,7.306473341,7.305760233,7.160498834
Gene184,7.267057358,6.941234439,7.130076964,7.214049411,7.173840322,7.080224145,7.388505755,6.972257667,7.112683983,6.920319328,6.982079801,7.079710608
Gene185,7.268261718,7.17156368,7.387468266,7.580242901,7.404341449,7.363909062,7.37362018,7.387454859,7.374843652,7.264783255,7.223704404,7.351017032
Gene186,7.274704499,6.999840765,7.246379377,6.857337614,6.760249072,6.923732975,6.763204514,6.849392805,6.933801924,7.322104425,7.189063773,7.122874735
Gene187,7.295178072,7.535011563,7.356065138,7.601483589,7.439166691,7.167327327,8.052007931,7.623905394,7.568952038,8.181516216,8.21837077,7.863103627
Gene188,7.301629997,7.357575836,7.167890102,7.556417707,7.480599763,7.458109203,7.290518772,7.23397431,7.381503342,7.513461096,7.490590704,7.398201208
Gene189,7.317771123,7.175650771,7.10825987,7.228721223,7.267979515,7.463417921,7.271465859,7.232257937,7.247660902,7.170078679,7.139982861,7.247076545
